arrival_airport_icao,arrival_airport_name,origin_ident,origin_name,origin_country,is_international,flights
WMKK,Kuala Lumpur International Airport,WBKK,Kota Kinabalu International Airport,MY,false,147
WMKK,Kuala Lumpur International Airport,WIII,Soekarno-Hatta International Airport,ID,true,137
WMKK,Kuala Lumpur International Airport,WSAC,Changi Air Base (East),SG,true,113
WMKK,Kuala Lumpur International Airport,WSSS,Singapore Changi Airport,SG,true,99
WMKK,Kuala Lumpur International Airport,ZGSZ,Shenzhen Bao'an International Airport,CN,true,65
WMKK,Kuala Lumpur International Airport,VTBD,Don Mueang International Airport,TH,true,63
WMKK,Kuala Lumpur International Airport,VHHH,Hong Kong International Airport,HK,true,63
WMKK,Kuala Lumpur International Airport,WMKJ,Senai International Airport,MY,false,55
WMKK,Kuala Lumpur International Airport,VTBS,Suvarnabhumi Airport,TH,true,53
WMKJ,Senai International Airport,WMKJ,Senai International Airport,MY,false,51
WMKJ,Senai International Airport,WMSA,Sultan Abdul Aziz Shah International Airport,MY,false,41
WMKK,Kuala Lumpur International Airport,RPLL,Ninoy Aquino International Airport,PH,true,40
WMKK,Kuala Lumpur International Airport,YSSY,Sydney Kingsford Smith International Airport,AU,true,40
WMKK,Kuala Lumpur International Airport,WMKP,Penang International Airport,MY,false,40
WMKK,Kuala Lumpur International Airport,YPPH,Perth International Airport,AU,true,36
WMKK,Kuala Lumpur International Airport,YMML,Melbourne Airport,AU,true,31
WMKK,Kuala Lumpur International Airport,RJAA,Narita International Airport,JP,true,29
WMKK,Kuala Lumpur International Airport,VIDP,Indira Gandhi International Airport,IN,true,27
WMKK,Kuala Lumpur International Airport,RKSI,Incheon International Airport,KR,true,24
WBKK,Kota Kinabalu International Airport,WBKL,Labuan Airport,MY,false,23
WMKK,Kuala Lumpur International Airport,VNKT,Tribhuvan International Airport,NP,true,22
WMKK,Kuala Lumpur International Airport,RCTP,Taiwan Taoyuan International Airport,TW,true,22
WMKP,Penang International Airport,WMSA,Sultan Abdul Aziz Shah International Airport,MY,false,19
WMKK,Kuala Lumpur International Airport,OTHH,Hamad International Airport,QA,true,19
WMKP,Penang International Airport,WMKK,Kuala Lumpur International Airport,MY,false,19
WMKK,Kuala Lumpur International Airport,EGLL,London Heathrow Airport,GB,true,19
WMKK,Kuala Lumpur International Airport,OMDB,Dubai International Airport,AE,true,18
WMKK,Kuala Lumpur International Airport,WMKK,Kuala Lumpur International Airport,MY,false,18
WMKP,Penang International Airport,WSAC,Changi Air Base (East),SG,true,17
WBKK,Kota Kinabalu International Airport,WMKK,Kuala Lumpur International Airport,MY,false,16
WBKK,Kota Kinabalu International Airport,RKSI,Incheon International Airport,KR,true,16
WBKK,Kota Kinabalu International Airport,WBKK,Kota Kinabalu International Airport,MY,false,15
WMKK,Kuala Lumpur International Airport,VOCI,Cochin International Airport,IN,true,15
WMKK,Kuala Lumpur International Airport,RJTT,Tokyo Haneda International Airport,JP,true,14
WMKK,Kuala Lumpur International Airport,VAJJ,Juhu Aerodrome,IN,true,13
WMKP,Penang International Airport,VHHH,Hong Kong International Airport,HK,true,13
WMKK,Kuala Lumpur International Airport,LTFM,İstanbul Airport,TR,true,13
WMKK,Kuala Lumpur International Airport,VYYY,Yangon International Airport,MM,true,13
WMKK,Kuala Lumpur International Airport,VOBL,Kempegowda International Airport Bengaluru,IN,true,13
WMKJ,Senai International Airport,WBKK,Kota Kinabalu International Airport,MY,false,12
WMKK,Kuala Lumpur International Airport,VECC,Netaji Subhash Chandra Bose International Airport,IN,true,12
