airport_a,airport_a_name,airport_b,airport_b_name,distance_km,iata_a,iata_b
MY-LBP,Long Banga Airport,WBGB,Bintulu Airport,264.6,LBP,BTU
MY-LBP,Long Banga Airport,WBGF,Long Lellang Airport,36.7,LBP,LGL
WBGB,Bintulu Airport,WBGF,Long Lellang Airport,239.2,BTU,LGL
MY-LBP,Long Banga Airport,WBGG,Kuching International Airport,592.4,LBP,KCH
WBGB,Bintulu Airport,WBGG,Kuching International Airport,347.7,BTU,KCH
WBGF,Long Lellang Airport,WBGG,Kuching International Airport,575.1,LGL,KCH
MY-LBP,Long Banga Airport,WBGI,Long Seridan Airport,93.7,LBP,ODN
WBGB,Bintulu Airport,WBGI,Long Seridan Airport,246.2,BTU,ODN
WBGF,Long Lellang Airport,WBGI,Long Seridan Airport,62.5,LGL,ODN
WBGG,Kuching International Airport,WBGI,Long Seridan Airport,592.2,KCH,ODN
MY-LBP,Long Banga Airport,WBGJ,Limbang Airport,183.8,LBP,LMN
WBGB,Bintulu Airport,WBGJ,Limbang Airport,289.5,BTU,LMN
WBGF,Long Lellang Airport,WBGJ,Limbang Airport,155.1,LGL,LMN
WBGG,Kuching International Airport,WBGJ,Limbang Airport,635.3,KCH,LMN
WBGI,Long Seridan Airport,WBGJ,Limbang Airport,92.8,ODN,LMN
MY-LBP,Long Banga Airport,WBGK,Mukah Airport,374.6,LBP,MKM
WBGB,Bintulu Airport,WBGK,Mukah Airport,111.7,BTU,MKM
WBGF,Long Lellang Airport,WBGK,Mukah Airport,350.5,LGL,MKM
WBGG,Kuching International Airport,WBGK,Mukah Airport,243.6,KCH,MKM
WBGI,Long Seridan Airport,WBGK,Mukah Airport,357.0,ODN,MKM
WBGJ,Limbang Airport,WBGK,Mukah Airport,392.7,LMN,MKM
MY-LBP,Long Banga Airport,WBGM,Marudi Airport,161.0,LBP,MUR
WBGB,Bintulu Airport,WBGM,Marudi Airport,186.8,BTU,MUR
WBGF,Long Lellang Airport,WBGM,Marudi Airport,124.3,LGL,MUR
WBGG,Kuching International Airport,WBGM,Marudi Airport,533.5,KCH,MUR
WBGI,Long Seridan Airport,WBGM,Marudi Airport,84.8,ODN,MUR
WBGJ,Limbang Airport,WBGM,Marudi Airport,102.8,LMN,MUR
WBGK,Mukah Airport,WBGM,Marudi Airport,291.9,MKM,MUR
MY-LBP,Long Banga Airport,WBGQ,Bakalalan Airport,89.1,LBP,BKM
WBGB,Bintulu Airport,WBGQ,Bakalalan Airport,303.4,BTU,BKM
WBGF,Long Lellang Airport,WBGQ,Bakalalan Airport,80.2,LGL,BKM
WBGG,Kuching International Airport,WBGQ,Bakalalan Airport,646.8,KCH,BKM
WBGI,Long Seridan Airport,WBGQ,Bakalalan Airport,61.1,ODN,BKM
WBGJ,Limbang Airport,WBGQ,Bakalalan Airport,114.7,LMN,BKM
WBGK,Mukah Airport,WBGQ,Bakalalan Airport,414.9,MKM,BKM
WBGM,Marudi Airport,WBGQ,Bakalalan Airport,144.6,MUR,BKM
MY-LBP,Long Banga Airport,WBGR,Miri Airport,200.4,LBP,MYY
WBGB,Bintulu Airport,WBGR,Miri Airport,171.1,BTU,MYY
WBGF,Long Lellang Airport,WBGR,Miri Airport,163.7,LGL,MYY
WBGG,Kuching International Airport,WBGR,Miri Airport,512.0,KCH,MYY
WBGI,Long Seridan Airport,WBGR,Miri Airport,125.8,ODN,MYY
WBGJ,Limbang Airport,WBGR,Miri Airport,125.6,LMN,MYY
WBGK,Mukah Airport,WBGR,Miri Airport,268.6,MKM,MYY
WBGM,Marudi Airport,WBGR,Miri Airport,41.3,MUR,MYY
WBGQ,Bakalalan Airport,WBGR,Miri Airport,185.0,BKM,MYY
MY-LBP,Long Banga Airport,WBGS,Sibu Airport,393.6,LBP,SBW
WBGB,Bintulu Airport,WBGS,Sibu Airport,149.7,BTU,SBW
WBGF,Long Lellang Airport,WBGS,Sibu Airport,374.8,LGL,SBW
WBGG,Kuching International Airport,WBGS,Sibu Airport,200.8,KCH,SBW
WBGI,Long Seridan Airport,WBGS,Sibu Airport,391.7,ODN,SBW
WBGJ,Limbang Airport,WBGS,Sibu Airport,439.2,LMN,SBW
WBGK,Mukah Airport,WBGS,Sibu Airport,69.3,MKM,SBW
WBGM,Marudi Airport,WBGS,Sibu Airport,336.5,MUR,SBW
WBGQ,Bakalalan Airport,WBGS,Sibu Airport,446.0,BKM,SBW
WBGR,Miri Airport,WBGS,Sibu Airport,319.2,MYY,SBW
MY-LBP,Long Banga Airport,WBGW,Lawas Airport,183.1,LBP,LWY
WBGB,Bintulu Airport,WBGW,Lawas Airport,327.1,BTU,LWY
WBGF,Long Lellang Airport,WBGW,Lawas Airport,161.3,LGL,LWY
WBGG,Kuching International Airport,WBGW,Lawas Airport,674.3,KCH,LWY
WBGI,Long Seridan Airport,WBGW,Lawas Airport,104.2,ODN,LWY
WBGJ,Limbang Airport,WBGW,Lawas Airport,44.3,LMN,LWY
WBGK,Mukah Airport,WBGW,Lawas Airport,432.6,MKM,LWY
WBGM,Marudi Airport,WBGW,Lawas Airport,140.8,MUR,LWY
WBGQ,Bakalalan Airport,WBGW,Lawas Airport,100.1,BKM,LWY
WBGR,Miri Airport,WBGW,Lawas Airport,168.1,MYY,LWY
WBGS,Sibu Airport,WBGW,Lawas Airport,476.5,SBW,LWY
MY-LBP,Long Banga Airport,WBGZ,Bario Airport,59.8,LBP,BBN
WBGB,Bintulu Airport,WBGZ,Bario Airport,281.2,BTU,BBN
WBGF,Long Lellang Airport,WBGZ,Bario Airport,50.1,LGL,BBN
WBGG,Kuching International Airport,WBGZ,Bario Airport,621.7,KCH,BBN
WBGI,Long Seridan Airport,WBGZ,Bario Airport,52.9,ODN,BBN
WBGJ,Limbang Airport,WBGZ,Bario Airport,130.2,LMN,BBN
WBGK,Mukah Airport,WBGZ,Bario Airport,392.9,MKM,BBN
