baro_altitude,callsign,geo_altitude,icao24,last_contact,latitude,longitude,on_ground,origin_country,position_source,snapshot_ts,spi,squawk,time_position,true_track,velocity,vertical_rate
784.86,CES897  ,815.34,781c51,1784310871,1.6105,104.0706,False,China,0,1784310911,False,3730,1784310834,172.18,94.51,0
11574.78,RBA121  ,12321.54,895056,1784310684,3.343,105.5135,False,Brunei Darussalam,0,1784310911,False,2003,1784310650,264.13,241.51,0
9281.16,CES796  ,9898.38,781e3d,1784310903,3.8885,102.5656,False,China,0,1784310911,False,2115,1784310894,15.3,232.01,3.9
9753.6,CCA476  ,10408.92,780acd,1784310910,2.6706,103.2797,False,China,0,1784310911,False,2311,1784310910,344.52,237.02,0
1181.1,CXA8675 ,1242.06,780aca,1784310688,1.6104,104.0248,False,China,0,1784310911,False,4673,1784310573,171.91,98.73,-3.58
3406.14,SIA618  ,2865.12,76cc74,1784310866,1.2058,104.3489,False,Singapore,0,1784310911,False,,1784310847,104.82,146.87,11.38
6233.16,SIA672  ,5737.86,76cc6f,1784310776,2.0426,104.5185,False,Singapore,0,1784310911,False,0104,1784310776,40.3,213.16,7.15
4960.62,SIA826  ,5257.8,76cd11,1784310909,1.6544,103.8563,False,Singapore,0,1784310911,False,0167,1784310909,320.23,203.47,7.15
11887.2,VHX78   ,12633.96,7c7936,1784310910,1.286,103.1327,False,Australia,0,1784310911,False,6151,1784310910,123.72,243.7,0
,CSN8484 ,,7814fd,1784310910,5.919,116.0435,True,China,0,1784310911,False,,1784310910,22.5,2.83,
10066.02,ABL602  ,10759.44,71c394,1784310909,4.4258,115.8331,False,Republic of Korea,0,1784310911,False,,1784310909,7.63,243.95,0
11003.28,TWB156  ,11742.42,71c500,1784310909,3.9255,114.4902,False,Republic of Korea,0,1784310911,False,,1784310909,38.52,232.11,5.53
320.04,CPA733  ,342.9,78924b,1784310689,2.8194,101.6743,False,China,0,1784310911,False,5316,1784310689,146.2,74.91,-3.9
6614.16,CSN5036 ,7018.02,7820a6,1784310910,3.0873,102.2871,False,China,0,1784310911,False,,1784310910,16.96,220.51,7.15
12192,JST17   ,12946.38,7c6bc0,1784310909,5.243,101.0435,False,Australia,0,1784310911,False,1344,1784310909,322.31,251.59,0.33
10363.2,CSC3920 ,11056.62,7821fe,1784310910,3.7112,102.8133,False,China,0,1784310911,False,2261,1784310910,348.66,230.33,0
1577.34,APG502  ,1653.54,7585ea,1784310910,6.0845,116.1141,False,Philippines,0,1784310911,False,,1784310910,35.78,129.35,13.33
2598.42,CSN5080 ,2727.96,7822b8,1784310909,2.6795,101.9038,False,China,0,1784310911,False,,1784310909,69.35,147.34,15.93
10363.2,CXA8674 ,11049,781385,1784310910,2.2255,103.5773,False,China,0,1784310911,False,2313,1784310910,320.52,230.61,0
9144,KLM836  ,9745.98,4851f5,1784310910,4.9857,101.2323,False,Kingdom of the Netherlands,0,1784310911,False,,1784310909,322.55,265.67,0
8839.2,CSH7266 ,9418.32,781371,1784310909,3.8052,103.2223,False,China,0,1784310911,False,,1784310909,39.87,235.94,0.33
3962.4,GCR7963 ,4206.24,781429,1784310910,2.1828,103.6506,False,China,0,1784310911,False,,1784310910,180.84,175.44,-0.33
9677.4,SIA306  ,10294.62,76cdab,1784310910,3.6047,101.6666,False,Singapore,0,1784310911,False,2250,1784310910,311.61,252.53,0.98
1043.94,,1112.52,76cef6,1784310909,1.2417,103.9482,False,Singapore,0,1784310911,False,,1784310886,111.93,130.88,9.1
5021.58,AXM585  ,5326.38,750584,1784310909,3.5168,101.8467,False,Malaysia,0,1784310911,False,,1784310909,199.66,204.86,-15.28
4084.32,AXM1623 ,4358.64,7504b1,1784310910,6.3068,116.2826,False,Malaysia,0,1784310911,False,,1784310910,35.98,178.64,12.68
640.08,AXM117  ,662.94,7504fe,1784310872,2.829,101.6167,False,Malaysia,0,1784310911,False,3124,1784310872,146.01,81.9,-4.55
11277.6,WCM6640 ,12016.74,7504e0,1784310909,4.9234,112.124,False,Malaysia,0,1784310911,False,,1784310909,72.14,228.09,0
7840.98,TGW50   ,8359.14,76bcc9,1784310910,2.3793,102.8008,False,Singapore,0,1784310911,False,0103,1784310910,316.75,226,4.55
